left,frzLeft
down,frzDown
up,frzUp
right,frzRight
space,frzSpace
leftdia,frzLdia
rightdia,frzRdia
sleft,sfrzLeft
sdown,sfrzDown
sup,sfrzUp
sright,sfrzRight
sspace,sfrzSpace
sleftdia,sfrzLdia
srightdia,sfrzRdia
gor,frzGor
iyo,frzIyo
siyo,sfrzIyo
oni,foni
tleft,tfrzLeft
tdown,tfrzDown
tup,tfrzUp
tright,tfrzRight
aleft,afrzLeft
adown,afrzDown
aup,afrzUp
aright,afrzRight
aspace,afrzSpace
bleft,bfrzLeft
bdown,bfrzDown
bup,bfrzUp
bright,bfrzRight
cleft,cfrzLeft
cdown,cfrzDown
cup,cfrzUp
cright,cfrzRight
dleft,dfrzLeft
ddown,dfrzDown
dup,dfrzUp
dright,dfrzRight
eleft,efrzLeft
edown,efrzDown
eup,efrzUp
eright,efrzRight
fleft,ffrzLeft
fdown,ffrzDown
fup,ffrzUp
fright,ffrzRight
gleft,gfrzLeft
gdown,gfrzDown
gup,gfrzUp
gright,gfrzRight
hleft,hfrzLeft
hdown,hfrzDown
hup,hfrzUp
hright,hfrzRight
